	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
K01365: cathepsin L [EC:3.4.22.15]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01364: streptopain [EC:3.4.22.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01361: lactocepin [EC:3.4.21.96]	0	1	2	1	1	0	4	0	0	4	0	1	0	3	1	3	0	0	2	9	0	0	0	1	2	4	2	0	2	0	0	1	30	0	1	0	9	11
K01360: proprotein convertase subtilisin/kexin type 2 [EC:3.4.21.94]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01362: None	1319	759	715	878	855	718	650	901	840	411	828	580	1339	740	800	573	734	1031	610	1390	1270	912	819	808	726	871	693	641	726	651	857	663	790	694	761	895	297	405
K02249: competence protein ComGG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K05841: sterol 3beta-glucosyltransferase [EC:2.4.1.173]	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1
K05844: ribosomal protein S6 modification protein	0	14	7	1	0	0	3	6	1	1	0	14	1	26	12	39	1	1	7	5	1	0	23	6	1	25	12	41	81	10	3	0	17	1	12	1	274	42
K05845: osmoprotectant transport system substrate-binding protein	2	112	10	5	18	8	23	33	6	3	9	64	5	3	11	27	28	12	4	20	23	73	27	32	16	65	8	43	165	24	26	41	14	78	6	7	231	51
K05846: osmoprotectant transport system permease protein	132	208	100	154	153	127	334	91	97	189	159	351	132	158	110	247	78	150	207	1034	100	180	180	103	133	190	180	353	571	169	138	180	341	164	114	152	684	462
K05847: osmoprotectant transport system ATP-binding protein	204	374	284	206	360	130	342	269	222	303	253	464	169	207	171	212	253	258	166	93	230	397	240	222	251	350	218	114	405	252	297	551	330	359	179	273	415	265
K00508: linoleoyl-CoA desaturase [EC:1.14.19.3]	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	5	0	0	3
K00500: phenylalanine-4-hydroxylase [EC:1.14.16.1]	0	0	0	0	2	1	5	2	1	0	0	1	0	0	0	1	0	0	0	1	1	0	7	1	7	2	0	0	2	1	6	0	1	2	0	2	7	2
K00507: stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]	105	18	1	1	6	2	12	2	12	5	3	3	209	0	7	2	0	108	2	1	238	15	26	3	8	69	0	4	3	4	22	1	2	4	6	5	13	27
K00504: peptidylglycine monooxygenase [EC:1.14.17.3]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00505: tyrosinase [EC:1.14.18.1]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12521: minor pilin subunit PapF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01101: 4-nitrophenyl phosphatase [EC:3.1.3.41]	33	33	93	14	21	280	188	40	34	154	159	145	65	56	125	123	109	65	14	43	82	31	96	54	403	56	36	49	89	95	87	43	321	74	298	396	44	95
K01103: 6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46] or fructose-2,6-bisphosphatase [EC:3.1.3.46]	5	15	12	16	9	1	4	15	7	0	25	0	0	0	7	5	13	27	0	6	41	53	14	11	0	52	35	1	0	7	8	0	0	4	3	6	0	2
K12520: minor pilin subunit PapE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01104: protein-tyrosine phosphatase [EC:3.1.3.48]	2237	2822	2384	1513	2197	2834	3289	1943	2632	3792	2185	3264	2294	1760	2388	2796	2544	3168	1123	861	2898	2138	1923	2410	2632	2127	1784	1411	2202	3081	2390	3432	1874	3134	3278	3843	1166	1179
K05592: ATP-dependent RNA helicase DeaD [EC:3.6.4.13] or ATP-dependent RNA helicase DeaD	985	1015	718	770	873	688	707	822	811	904	829	783	1133	691	821	754	889	904	752	428	1239	880	759	675	665	923	741	799	862	788	839	1143	731	834	681	751	632	676
K05593: aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	81	65	45	80	43	65	67	38	38	183	54	84	66	106	80	114	38	83	193	18	35	18	99	48	104	30	131	183	28	87	34	298	72	20	54	26	111	378
K05590: ATP-dependent RNA helicase SrmB [EC:2.7.7.-]	0	24	10	73	0	0	19	15	0	86	0	23	28	84	12	123	2	1	195	5	1	0	84	6	10	50	120	242	90	47	2	35	41	2	59	0	380	351
K05591: ATP-independent RNA helicase DbpA [EC:3.6.4.13] or ATP-independent RNA helicase DbpA	0	24	9	74	2	1	22	17	1	87	0	17	27	72	3	98	1	0	188	3	0	0	71	2	13	51	114	241	92	48	10	35	27	3	53	2	356	355
K05596: LysR family transcriptional regulator, chromosome initiation inhibitor	1	24	10	74	4	1	22	17	1	89	0	16	28	73	3	97	1	0	188	3	0	0	81	1	11	50	114	242	91	48	13	35	29	1	56	2	353	358
