# Constructed from biom file
#OTU ID	S15	S3	S17	S18	S10	S30	S2	S11	S20	S26	S16	S35	S23	S21	S1	S24	S39	S8	S31	S19	S12	S9	S22	S37	S29	S7	S32	S14	S4	S36	S5	S25	S27	S40	S33	S28	S6	S13
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	6.0	6.0	5.0	25.0	25.0	70.0	2.0	1.0	4.0	2.0	2.0	6.0	2.0	2.0	0.0	4.0	0.0	34.0	86.0	8.0	12.0	1.0	4.0	1.0	0.0	0.0	5.0	10.0	6.0	0.0	8.0	18.0	0.0	5.0	0.0	94.0	25.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	1.0	8.0	13.0	0.0	0.0	1.0	40.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	8.0	25.0	11.0	1.0	0.0	5.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	1.0	43.0	2.0	4.0	1.0	20.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	87.0	83.0	117.0	14.0	0.0	424.0	8.0	10.0	54.0	177.0	23.0	118.0	16.0	0.0	7.0	0.0	56.0	0.0	10.0	44.0	64.0	1.0	3.0	23.0	7.0	8.0	2.0	162.0	114.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	42.0	51.0	214.0	26.0	53.0	57.0	7.0	22.0	22.0	1.0	24.0	42.0	5.0	1.0	6.0	3.0	11.0	29.0	9.0	13.0	6.0	35.0	17.0	18.0	13.0	14.0	121.0	14.0	233.0	14.0	39.0	133.0	7.0	37.0	28.0	34.0	8.0	13.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	33.0	146.0	867.0	292.0	1.0	511.0	36.0	309.0	605.0	0.0	250.0	442.0	172.0	152.0	19.0	37.0	197.0	81.0	3.0	45.0	646.0	401.0	147.0	37.0	0.0	106.0	96.0	27.0	176.0	201.0	188.0	0.0	0.0	92.0	176.0	58.0	0.0	1.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	4923.0	12686.0	7379.0	17543.0	12242.0	6164.0	1381.0	9803.0	3680.0	3545.0	2770.0	1600.0	3673.0	3428.0	2567.0	3491.0	6565.0	1357.0	12075.0	1666.0	4818.0	6315.0	3660.0	6349.0	2735.0	2937.0	6725.0	6539.0	13198.0	5449.0	7212.0	3023.0	3262.0	8427.0	6539.0	6857.0	1204.0	3251.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	243.0	2394.0	474.0	2264.0	186.0	33.0	213.0	768.0	592.0	0.0	857.0	320.0	0.0	18.0	109.0	103.0	1150.0	92.0	155.0	213.0	179.0	2232.0	105.0	273.0	62.0	480.0	2084.0	107.0	1.0	0.0	2010.0	6218.0	44.0	803.0	1991.0	124.0	20.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	3.0	0.0	0.0	0.0	0.0	0.0	1018.0	1.0	0.0	0.0	2073.0	0.0	0.0	20.0	1221.0	0.0	1628.0	1.0	0.0	1250.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	336.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	1108.0	312.0	82.0	107.0	125.0	0.0	2.0	48.0	259.0	0.0	78.0	0.0	134.0	0.0	52.0	39.0	331.0	19.0	0.0	12.0	83.0	121.0	6.0	13.0	0.0	63.0	99.0	0.0	0.0	0.0	26.0	0.0	0.0	344.0	0.0	97.0	0.0	7.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	407.0	0.0	475.0	782.0	464.0	5.0	125.0	703.0	0.0	0.0	631.0	0.0	499.0	3.0	341.0	517.0	0.0	55.0	111.0	202.0	0.0	860.0	330.0	7.0	0.0	442.0	681.0	558.0	0.0	0.0	97.0	0.0	0.0	0.0	232.0	276.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	316.0	389.0	208.0	102.0	239.0	7.0	31.0	379.0	0.0	0.0	266.0	0.0	241.0	24.0	140.0	87.0	225.0	101.0	7.0	109.0	478.0	127.0	254.0	149.0	0.0	73.0	186.0	55.0	0.0	0.0	263.0	0.0	0.0	0.0	91.0	62.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	738.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	1350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	17.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae	0.0	2.0	0.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	581.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	4.0	8.0	18.0	5.0	5.0	3.0	8.0	3.0	0.0	6.0	0.0	2.0	0.0	1.0	2.0	5.0	2.0	0.0	9.0	38.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	6.0	6.0	0.0	0.0	0.0	14.0	9.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.0	31.0	21.0	12.0	17.0	22.0	41.0	2.0	0.0	8.0	2.0	0.0	3.0	13.0	8.0	0.0	3.0	3.0	29.0	72.0	3.0	16.0	0.0	0.0	6.0	2.0	15.0	20.0	0.0	0.0	0.0	18.0	105.0	0.0	0.0	4.0	22.0	5.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	12.0	2.0	0.0	0.0	1.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	4.0	55.0	37.0	12.0	39.0	46.0	47.0	7.0	8.0	45.0	3.0	6.0	0.0	23.0	6.0	23.0	7.0	5.0	63.0	141.0	6.0	8.0	7.0	23.0	23.0	13.0	5.0	16.0	0.0	18.0	8.0	45.0	355.0	13.0	11.0	1.0	90.0	158.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	239.0	14.0	40.0	84.0	40.0	143.0	786.0	7.0	86.0	252.0	59.0	104.0	34.0	7.0	33.0	38.0	14.0	29.0	8.0	15.0	184.0	89.0	10.0	69.0	5.0	11.0	31.0	26.0	6.0	96.0	32.0	14.0	2.0	297.0	54.0	49.0	47.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	1000.0	350.0	72.0	38.0	108.0	199.0	185.0	37.0	69.0	57.0	375.0	146.0	73.0	13.0	65.0	60.0	112.0	77.0	20.0	215.0	269.0	80.0	42.0	73.0	10.0	10.0	173.0	80.0	20.0	14.0	14.0	29.0	76.0	559.0	121.0	211.0	153.0	228.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	246.0	32.0	0.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	19.0	0.0	1.0	0.0	6.0	5.0	0.0	5.0	0.0	14.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	16.0	2.0	3.0	103.0	3.0	15.0	1057.0	7.0	7.0	9.0	21.0	20.0	6.0	7.0	21.0	0.0	2.0	2.0	3.0	8.0	21.0	11.0	0.0	0.0	0.0	0.0	15.0	13.0	164.0	8.0	3.0	4.0	1875.0	0.0	13.0	4.0	510.0	43.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0.0	10.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	1528.0	4411.0	2088.0	1040.0	3336.0	5615.0	3568.0	2186.0	1821.0	5340.0	2459.0	1795.0	1118.0	854.0	1625.0	3122.0	3465.0	1411.0	327.0	655.0	6733.0	1218.0	1474.0	2490.0	3348.0	1877.0	1064.0	1024.0	899.0	3651.0	1999.0	4267.0	641.0	3441.0	3392.0	5153.0	793.0	895.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	6.0	0.0	0.0	1.0	2.0	0.0	17.0	0.0	2.0	1.0	0.0	10.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	11.0	8.0	28.0	0.0	3.0	0.0	0.0	10.0	5.0	515.0	1.0	0.0	0.0	78.0	6.0	9.0	0.0	125.0	15.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	2080.0	680.0	844.0	512.0	542.0	4133.0	923.0	467.0	1005.0	405.0	914.0	644.0	551.0	807.0	803.0	306.0	295.0	616.0	83.0	600.0	2241.0	834.0	520.0	2925.0	1369.0	635.0	762.0	342.0	435.0	260.0	330.0	873.0	51.0	761.0	1704.0	2555.0	82.0	614.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	94.0	383.0	59.0	6.0	4.0	143.0	102.0	3.0	11.0	15.0	207.0	136.0	3.0	63.0	2.0	56.0	430.0	0.0	29.0	87.0	273.0	23.0	7.0	30.0	119.0	29.0	19.0	3.0	161.0	22.0	0.0	15.0	284.0	205.0	4.0	1.0	48.0	40.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.0	1.0	0.0	0.0	5.0	6.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	7.0	1.0	0.0	1.0	0.0	25.0	2.0	3.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	12.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	7.0	0.0	2.0	0.0	23.0	0.0	16.0	2.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	9.0	0.0	3.0	53.0	0.0	0.0	0.0	0.0	3.0	19.0	36.0	0.0	147.0	0.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	9.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	58.0	147.0	24.0	594.0	154.0	196.0	278.0	105.0	31.0	128.0	353.0	106.0	34.0	36.0	51.0	30.0	37.0	40.0	41.0	58.0	20.0	123.0	10.0	77.0	26.0	11.0	117.0	165.0	74.0	76.0	18.0	144.0	158.0	122.0	226.0	88.0	112.0	42.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	17.0	1.0	39.0	2.0	0.0	58.0	60.0	0.0	0.0	2.0	20.0	306.0	2.0	196.0	4.0	0.0	40.0	1.0	12.0	175.0	0.0	5.0	27.0	2.0	26.0	0.0	68.0	5.0	557.0	0.0	0.0	52.0	170.0	2.0	1.0	0.0	48.0	13.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	500.0	37.0	0.0	54.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other	0.0	0.0	0.0	7.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	2.0	0.0	5.0	7.0	1.0	0.0	13.0	1.0	0.0	10.0	0.0	0.0	4.0	4.0	30.0	2.0	5.0	0.0	0.0	10.0	11.0	103.0
