	median_rel
S12	0.000931300912848498
S10	0.000786848913025881
S11	0.000796315059373824
S1	0.000966226330349196
S28	0.00103367673289887
S8	0.000798329527125827
S20	0.000921864525976763
S15	0.00115192984108077
S39	0.000855474269706647
S27	0.00119251754995291
S21	0.000849200835201931
S3	0.000792542501811798
S32	0.00076287627848476
S14	0.000681824748973355
S9	0.000858792151920444
S25	0.000798391817627657
S33	0.000824789282572638
S34	0
S4	0.000918684400678162
S40	0.000884238586149153
S37	0.000897130395365121
S19	0.00115633376044058
S30	0.00104631173221742
S22	0.000884714533801699
S26	0.000760597665493477
S16	0.000958484685119225
S2	0.00108961662312735
S36	0.000881179913985487
S7	0.000900554414907235
S6	0.000703113657812077
S17	0.000877050364295832
S5	0.000854860375461902
S35	0.000868329205278708
S38	0
S23	0.000944302430112353
S18	0.000750371827831827
S24	0.000883612005535185
S31	0.000608492407556416
S29	0.00111412744795853
S13	0.000671032288072531
