	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
M00001	2.0873263862	1.8066138847	1.7864888294	2.8055723018	1.6653314814	1.3991940835	1.6083174982	1.5638043923	1.8163711429	1.5040967448	1.7831201954	1.4994404095	1.8134759303	2.6137439246	1.7440595567	1.7203744036	2.4341156437	1.6630144481	1.6468553248	2.0205726862	2.2965826020	1.6916873729	2.3510965663	1.9026403947	1.6062629687	2.5944975873	1.6425843550	1.9198993013	1.8532304603	1.5767997037	1.7091406435	1.9674997912	1.8347100842	2.4561446231	2.4575417885	1.9190693180	2.4344358177	1.6803366162
M00002	2.4598551491	1.7593353831	1.8601810054	3.1218976386	1.7069416999	1.4734687231	1.6395641143	1.5475783743	1.9332734686	1.8233375422	1.7847195302	1.7242496278	1.8801925767	3.1344015423	1.8429797279	1.7736275266	2.6899914860	1.4894926866	1.7076433184	2.3435394219	2.4008846253	1.6821678509	2.5845162023	1.9202267386	1.6702195342	2.5652330657	1.5913026129	1.7281425139	1.9719964535	1.5121471733	1.7645097550	2.1982882068	2.2393632870	2.6164939133	2.8716873134	1.8612728102	2.6903453168	1.8153899743
M00003	1.9874314239	1.5057538477	1.5306021398	2.6197654237	1.4771667752	1.2549298912	1.4438983169	1.3380659359	1.6271967893	1.5231972409	1.5340264725	1.4354140643	1.6104577440	2.3421857290	1.5179472905	1.5837771758	2.2303023560	1.4432423633	1.4340268667	1.8589420834	1.9910054931	1.4376207377	2.1937900508	1.7307617629	1.4690942931	2.0850668403	1.3976633764	1.6815990308	1.6128824952	1.2911549280	1.4572090569	1.7740833697	1.7760739237	2.1570993337	2.1900686388	1.5548314937	2.2305957212	1.4626847183
M00004	1.3333549966	1.2377437197	1.1094623263	1.4583636673	1.1785373205	0.9069348698	1.0643292416	0.9434001471	1.1255629924	0	1.0887560829	0.9924609344	1.0285089872	1.5263583793	1.0059428456	1.1116443675	1.3115290443	1.4150452563	1.0523472882	0	0	0	0	1.2584634856	1.2227002602	1.3521175151	1.1339600714	1.1856001379	1.2593827579	1.0761541724	1.0392724585	1.1949435691	1.0977214276	1.0628308267	1.3081116119	1.0798460667	1.3117015576	0.9986947559
M00005	1.5339819084	1.1816292355	1.7655438161	1.5582049007	1.1033104568	1.1861901945	1.4663128516	0.7162933507	0.8967920446	0.9994641536	0.9875651112	0.7652561527	0.9724185301	1.1070469150	1.0439863489	1.7401583558	1.8536094100	1.2078149513	0.6005756589	1.6125114201	1.5826381250	1.2242754064	1.5421544277	0.7172049280	0.9402891533	1.0190416729	1.0987384623	1.2855361023	1.0937517016	1.1531207818	0.9868587956	1.3045802639	1.9810846394	1.3237400782	0	1.0926803674	1.8538532265	0.8714625209
M00006	0.7484242941	0.8447827348	0.5346848000	0	0.6418129825	0.4615337406	0.5997537354	0.6176901768	0.8459241517	0	0.4990417420	0.5340807480	0.4537028157	1.3672349891	0.7689854456	0.5347445791	0.7382416502	0.7769800608	0.5172238098	0	0	0	0	0.9823008630	0.7596392997	0.9760167337	0.6279127847	0.6908899368	0.6600962599	0.6781622224	0.7913659461	0.7411485421	0.9066881223	0	0	0.7088046534	0.7383387556	0.7510194757
M00007	1.7410162969	1.5247079778	1.5148585755	2.1026528669	1.5411780893	1.2389132854	1.4132885319	1.2331032609	1.4052018332	1.4791930511	1.5737943642	1.4002517823	1.5597553727	1.6854817695	1.2262839419	1.5254610110	1.6632089756	1.9704369484	1.4059554625	2.0109454154	1.3400210765	1.8769810455	2.0852483923	1.5346261082	1.5770339105	1.5677218971	1.5935139626	1.5835829016	1.6814214333	1.3061114067	1.2141717466	1.5671252667	1.2346067007	1.8938229651	1.7438067752	1.4508874799	1.6634277475	1.2463700361
M00008	0.7461614196	0.7855416515	0.6893506515	0	0.7198485774	0.5336880169	0.7033374031	0.7844657073	0.6846926114	0	0.6464862329	0.5434425321	0.6075586793	1.4189304469	0.7364753970	0.6366911175	0.8627951354	0.7020569962	0.5309497026	0	0	0	0	0.9367245911	0.7706507823	0	0.7063570382	0.7458667378	0.7308851120	0.7979583248	0.8731276003	0.8505721468	0.9115594115	0	0	0.7593116332	0.8629086241	0.7766202340
M00009	0	0.7640394617	0.5933337591	1.0520875770	0.6531959687	0.4214721651	0.6162822027	0.6888300823	0.7922147875	0	0.6308585815	0.5248634396	0.6432740479	0.4016448710	0.6645257418	0.5946987937	0.8118512150	0.6018721927	0.4709004543	0.4954879080	0.4069744000	0.4622110624	0.6323801253	0.9723284672	0.6819822311	0	0.5354296784	0.5330664288	0.5811311234	0.6596228118	0.7037680814	0.5513147761	0.5464959379	0.7446523315	0.7078558234	0.5552908896	0.8119580027	0.6241011867
M00010	1.2387489179	0.8632229813	0.7002657514	1.1716371791	0.9981694655	0.6546146736	0.9900930606	0.9182007369	1.0336966767	0.8763881591	0.9658109876	0.7051950132	0.6608635471	0	1.0724797007	0.6141411587	0.8008841811	0.9427058545	0	0.7768086675	0	0.8163437745	0.8295022631	0.8283915790	0.6736740899	0.7417208734	0.7797412434	0.7756600568	0.7298915617	0.8599180283	0.9077506249	0.7143868017	0	0.9347438994	0	0.6986289890	0.8009895262	0.7988080465
M00011	0.8053546109	0.8335579543	0.5860853404	0	0.6417744130	0.4105975758	0.5387676402	0.6962111905	0.7955748413	0.3755583737	0.5917267110	0.5482151771	0.5879307028	0	0.6251697566	0	0	0.5267581133	0	0	0	0	0	0.9660814112	0.7236023100	0	0.4932145765	0	0.6255222853	0.6487691720	0.6696457981	0.6168684564	0	0.9415359856	0	0.5763590608	0	0.7077618243
M00012	0	0	0	1.0892736222	0.8328383024	0	0	0	0.8347089752	0	0	0	0	0	0	0	0	0.7701358251	0	0	0	0	0	0.9064630051	0.6760182980	0	0	0	0	0	0	0	0	0	0	0	0	0
M00014	1.0710724712	0.9211417939	0.5928609075	0.5417914071	0.6994628639	0.4388435790	0.5881366774	0.6834098227	0.7065622822	0.2971969534	0.7116257989	0.6551722199	0.5083782960	0	0.7184637501	0.5450531171	0.9014968026	0.6316779942	0.4141060028	0.7472007882	0.6882582413	0.7875998365	0.4079706792	0.7971673626	1.0602418562	1.2879250092	0.5359202390	0.4882422867	0.7493267640	0.7103932158	1.3597643015	0.7079274634	0.6715212780	0.9297763262	0	0.6044590355	0.9016153819	0.7928269964
M00015	1.2574007038	1.1795063255	0.9416437189	1.4100492481	0.9322190700	0.6205013697	0.8424583909	0.8933848762	1.2138312673	0.6683479236	0.8593445429	1.0158184180	1.2841069761	0.6942627322	1.1412151271	0.5536320623	0.9763946082	1.0609831469	0.7572888034	0.8984722257	0.8550276893	1.0398709058	1.4282316281	1.3039913146	0.9140324862	1.2494929578	0.9008009598	1.1653548099	0.9187525023	1.0933359030	0.9598076715	0.9914718218	1.0725627183	0.9815987016	1.2194867748	1.1046103707	0.9765230393	1.1704960418
