	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
UNINTEGRATED	32.0278225730	33.2526659680	25.9605629691	37.4962792840	38.8224303701	22.5762546507	27.4026426724	29.5514639271	36.9367035991	15.1578603028	25.5910310770	27.3066861275	29.7233312324	25.7647060612	26.3204254433	29.0779863291	28.8782473764	34.8861977436	18.2430123642	21.8447182649	18.5708245188	21.9317319780	20.8285746803	45.9041705834	36.2377167389	27.2529869438	31.7306352263	27.6159966477	27.1140546972	30.7894088664	34.9785196883	28.7749907843	26.0303324119	29.7059949795	36.3416838708	27.9986117342	28.8824627589	31.8796060093
UNMAPPED	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
ko00010	0.7403713230	0.7156143539	0.5826044340	1.0476245448	0.7929485243	0.4881909951	0.5625997644	0.5862462503	0.7094995480	0.7061991236	0.6238825962	0.5502367347	0.6408099391	0.7677621721	0.6244018188	0.6076724842	0.8587370196	0.6910148030	0.5213018849	0.6125143757	0.6787015673	0.5298246860	0.7539857617	0.8445694945	0.6767260573	0.8670657909	0.6091406463	0.6617959438	0.6415318049	0.5886623955	0.6668674841	0.6935955553	0.6273762024	0.7660691140	0.9232203199	0.6369939476	0.8588487369	0.6047071222
ko00020	0.6974496910	0.6565848135	0	0.6630737697	0.6384972235	0.3671484662	0.4929454482	0.5992734673	0.6811013398	0.4993299950	0	0.4753745315	0	0	0.5797910083	0.5173917135	0	0.5269658787	0	0.4168713282	0	0	0	0.7817085145	0.6069879791	0	0.4541914822	0	0	0.5716074427	0.5792887812	0.5358263906	0	0	0	0	0	0.5803034449
ko00030	0.9602426253	0.9485199166	0.8354313931	1.3388343513	0.9635976259	0.6509168851	0.7953292589	0.8128750157	0.8880721289	0.6932816327	0.8227057351	0.7465650843	0.9304150682	0.9146576105	0.7662109127	0.9240956270	1.1117118522	1.0545005037	0.7414506622	0.8943228586	0.7982461383	0.7704930543	0.9469653116	1.0708259102	0.9234740870	1.0229713115	0.9182501638	0.9989753086	0.9371848000	0.8677478634	0.8793229950	0.9711407889	0.8473591896	0.9148995679	1.0757908446	0.9077614071	1.1118580824	0.8386050425
ko00040	0.6224781104	0.6116880879	0.4493256112	0.8379006112	0.6675788202	0.3181565448	0.4731969808	0.5949420697	0.6190166129	0.3440913664	0.5035444931	0.4968403444	0.6396845669	0.4025477792	0.4303714258	0.4491747764	0.5536975582	0.6140379182	0.2372738929	0.4800611100	0.4811097465	0.4164496853	0.4520245086	0.8310561237	0.6572007934	0.7131954959	0.5680148971	0.5328944443	0.6360072560	0.5159811343	0.5336214119	0.5006653302	0.4740370179	0.6355394228	0.5673058048	0.4841871055	0.5537703894	0.5476116765
ko00051	0.7123004564	0.7255426499	0.5359124124	1.2630199608	0.8826820698	0.4512319060	0.5634360103	0.6690101658	0.8341859008	0.4226019009	0.5478245437	0.6216319515	0.7313493899	0.5144948325	0.6057495044	0.7356061607	0.8454951494	0.7952895036	0.4834519379	0.4883117047	0.5672169636	0.5452334463	0.4678405750	0.9864762081	0.7456713383	0.9519533822	0.6754876041	0.7949186216	0.6822022529	0.6333372677	0.6867811544	0.7214935030	0.6420354614	0.6371728519	1.2377408101	0.6671680168	0.8441698822	0.6427012704
ko00052	0.7452773404	0.8312514692	0.5841548975	1.0492872105	0.7238526496	0.4470930182	0.5538390067	0.7077584383	0.7894905440	0.3866151602	0.6539645455	0.5917079394	0.6766290005	0.6862044620	0.5940508441	0.5742981945	0.6442652052	0.7579300452	0.4695509195	0.5887707406	0.7222100927	0.5045436235	0.5852837250	1.0359790346	0.7761118614	0.9352499974	0.6833221747	0.7397166714	0.6704388038	0.6948220949	0.7397716844	0.6554664260	0.7441573095	0.7214296980	0.7956372648	0.8188989604	0.6443368127	0.6665660132
ko00053	0.1419695717	0.1345286058	0.0819357330	0.3101921346	0.3218351909	0.0621844153	0.0842164082	0.0838010598	0.1698889735	0	0.0972442798	0.0799433522	0.0724032406	0	0.0997535023	0.1023378711	0.1292932922	0.1463079193	0	0.0944426648	0	0.0836307202	0.0411123780	0.3120070511	0.2693122966	0.1587388066	0.0795433965	0.0909303038	0.0954174525	0.0940643075	0.2023119646	0.0896858060	0	0	0.2972941340	0.0794536773	0.1293102990	0.1006539127
ko00061	0.8461660498	0.8653072829	0.6713962079	0.7417387505	0.7246466441	0.5245764722	0.7132075174	0.8086304419	0.8631039053	0.5099691776	0.6497026741	0.7187287097	0.7483570878	1.0748655626	0.7148131473	0.8379141083	1.0076713029	0.9806482617	0.8222046342	0.7481116559	0.8087631221	0.8402599975	0.7038182892	0.8162356302	0.7329625603	1.1645723619	0.7946375444	0.7444222560	0.6541071783	0.8124547810	0.7518609991	0.8515153823	0.7315993776	0.9703308686	0.9258401695	0.8702577244	1.0078172994	0.7742315475
