	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S23	S18	S24	S31	S29	S13
K00001	0.688878503577	0.898971743708	0.856727383769	0.835653645713	0.379840091057	0.78616688859	0.845675564313	0.42772918196	0.587321311551	0.709911101286	0.698716196804	0.464414704056	0.745242201999	0.880415047086	0.751023007109	0.786063492903	0.701336484974	1.17029511943	0.707231362618	0.637291227963	1.02451960129	0.531505322067	1.04267701056	0.977172021096	0.622300640058	0.492249528044	0.665115506015	0.936571254024	0.756480105356	0.675335234154	1.26143504885	0.538205934839	0.862655032737	0.82989254099	0.747390966147	1.29065914634	0.386068524302	1.01222045391
K00003	0.622951324907	0.428986609203	0.354541719326	0.398431665083	0.593946522208	0.435684479182	0.481050526682	0.354472657506	0.334967145302	0.258748798751	0.399469203374	0.314713719538	0.23667262139	0.290078797094	0.166252142998	0.435627178503	0	0	0.35017441894	0.506013094696	0.540607598733	0.642297160109	0	0.60042965607	0.656197599721	0	0.495150847407	0.515798738592	0	0.294054561765	0	0.52897402386	0.422705578402	0.18795819075	0.740937823614	0.104353403584	0	0
K00005	0	0	0.0861649883116	0	0.435844412042	0.354953668865	0.14372553403	0.107402889323	0.135693877383	0	0.480748895066	0.140840569824	0.506835557555	0.717151619113	0	0.354906985801	0.557473177219	0	0.166493294607	0	0.840133722794	0	0	0.344606368692	0.178035715437	0.564912158929	0.612000740256	0	1.46148544923	0.16445160007	0	0.116137318888	0.182957128682	0.28727915211	0	0.573067730984	0	1.86340541407
K00008	0.452788097746	0	0.274276116827	0.185656729369	0	0.566791198724	0.551513435352	0.0918103349624	0.193915470063	0	0.392225822028	0.278605441827	0.375973693781	0.769030104342	0	0.566716655054	0.864667715948	0	0.292461554159	0	0	0	1.1869281326	0.461615684804	0.11114709521	0	0	0	0	0.116131443838	0	0.443042241708	0.192645649412	0.450097963469	0.488766839755	0.602991113063	0	0.58304259313
K00009	0	0	0	0	0	0	0	0	0	0	0	0	0.223210043831	0.55882795498	0	0	0	0	0	0	0	0	0	0.142914205174	0	0	0	0	0	0	0	0.0518334367837	0	0.186805631574	0.409340135455	0.499144120482	0	0.821164812945
K00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596491666231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466292861683	0	0	0	0	0	0
K00012	1.33777857093	2.23681610188	1.83984786917	1.42977129661	1.12235937963	1.64847426733	0.995342137126	0.94915009742	1.35352513943	0.83553153806	1.02192780191	2.97489043323	2.42273031483	1.41743720902	1.50763169665	1.64825746206	2.48238315531	1.16897178588	1.37419980337	1.50400809877	0.807902719325	0.516039902256	1.79225111614	0.78320541324	1.19942206829	1.33918411598	0.727212823503	1.03720983224	1.21780144843	1.1672356817	1.63439088983	0.89476322862	1.52973872482	1.29434393621	0.986800693727	1.4846454678	0.967390418495	0.703410750959
K00013	0.847644832546	0.513884051599	0.549790586766	0.863985509267	0.732122662343	1.02451562581	0.920237304806	0.665484685416	0.924717125295	0.469941554709	0.880482162907	0.638574475006	0.930083741506	0.883440547732	0.976341122398	1.0243808828	0.531039140549	0.986956341967	0.777467577953	0.88095752326	0.636940086612	0.62489173332	1.25641306405	0.718584213941	0.804076373375	1.42643777112	0.828560844664	0.765916621689	0	0.707851680769	0	0.887094397237	0.797991085191	0.710738959151	0.936311944814	0.949471749417	1.07600270728	0.855697226472
K00014	1.06347308966	0.810323580615	0.804483924038	0.932254143518	1.16018799957	1.10709372518	0.748520832593	0.546957130535	0.588465743809	0.877479659836	1.01749522612	1.16049486908	0.980576083549	0.918796886909	0.636204402758	1.10694812159	0.761606579774	0.824698836507	0.52670563	0.815493362812	0.415695753458	1.28389054533	2.32077594463	0.715035424748	0.812817558728	0.688279584483	1.63907279228	0.809932819442	1.79004068286	0.767248194232	0	0.795619122845	0.583614963277	0.84765493564	0.899703878922	0.802422668112	0	0.713873277561
K00016	0.362280566959	0.494545075779	0.505341904655	0.480320875871	0.38990679808	0.557834232071	0.308235425141	0.418342779772	0.469396208176	0.215144575357	0.472573290124	0.299559530102	0.449769707196	0.899659705231	0.330525169288	0.557810365359	0.583087487142	0	0.44771001028	0.386540663548	2.09612309973	0.653632174115	0	0.754531388404	0.531169956845	0.311982716126	0.533409342594	0.190164271668	0	0.392184591794	0.503865508414	0.36858409749	0.284481147372	0.399266685654	0.232164432152	0.625335165529	0	0.733663298645
