	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.40517	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	1.22559	0	0	0.04197	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	31.50913	81.64077	63.21015	42.92759	41.37577	15.46096	60.28211	37.64114	47.41837	24.85247	45.87821	58.08623	40.17169	25.80231	61.94064	15.46096	38.04779	0	78.40539	44.01781	44.89436	5.00117	27.65529	32.44524	32.63216	33.14989	0.8467	45.3089	39.48162	6.51548	57.78188	41.39625	43.58775	0	18.97876	55.56454	28.61484	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	2.16307	9.35312	4.68616	0	44.50143	4.90233	5.48051	5.01045	0	0	8.92488	18.12289	2.92375	17.59852	44.50143	9.09728	0	0	6.11416	1.2993	0	0	0.74533	0	10.90288	0	0	16.10817	0	5.39256	13.03903	3.4743	0	2.70174	9.20664	6.99653	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0	0	5.49083	0	0	0	0	4.94084	0	0	0	0	0.68037	0	0	0	0	0	0	0	2.8526	0	0	0	4.76429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	12.43193	3.90671	2.37176	2.15707	0	0	3.76658	16.45098	4.71353	0	0	1.41213	2.82698	0.40142	5.10863	0	0	0	0	11.53715	0	0	0	0	0	1.9365	0	0	5.59145	0	3.90374	12.01399	0	0	2.92169	3.10741	0.12286	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0	0	0	0	0	0	0	0	2.92617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0	0.98721	0	0	1.69612	0	0	2.97435	10.85692	0	0.17559	0	0	0	1.69612	0	0	0	6.37006	1.86459	0	0	3.01502	24.74887	0	0.1682	3.65579	0	0	0	3.70085	1.58351	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38848	0	0
