	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0.13503	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	0.68357	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.27014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54202	0	0	0.04197	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	31.50913	81.64077	63.21015	42.92759	41.37577	15.46096	60.28211	37.64114	47.41837	24.85247	45.87821	58.08623	40.17169	25.80231	61.94064	15.46096	38.04779	0	78.40539	44.01781	44.89436	5.00117	27.65529	32.44524	32.63216	33.14989	0.8467	45.3089	39.48162	6.51548	57.78188	41.39625	43.58775	0	18.97876	55.56454	28.61484	35.34563	22.38713	14.57536
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0	0	4.85317	4.68616	0	0	0	4.08198	0	0	0	0	4.13108	2.33198	5.69788	0	0	0	0	0	0	0	0	0.74533	0	5.42392	0	0	7.62367	0	1.29087	0	0	0	2.70174	2.38872	6.99653	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0	2.16307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01189	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0	0	1.10983	0	0	0	0	1.39853	0.4791	0	0	0	1.49345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71917	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0	0	3.39013	0	0	44.50143	4.90233	0	4.53135	0	0	8.92488	12.49836	0.59176	11.90065	44.50143	9.09728	0	0	6.11416	1.2993	0	0	0	0	5.47896	0	0	8.48449	0	3.0898	13.03903	3.4743	0	0	6.09875	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
