	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0	0	0	1.05886	0.81685	0	0	0.35209	0	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.5346	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0	0	0	0	0	0	0	0	0.38005	0	0	0	0.40517	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	1.22559	0	0	0.04197	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	43.94106	87.71054	74.93503	55.26164	41.37577	59.96239	68.95102	59.57263	62.08318	24.85247	45.87821	68.42324	61.12155	29.80785	84.64779	59.96239	47.14508	0	78.40539	61.66912	46.19366	7.85377	27.65529	33.19057	32.63216	50.75355	0.8467	45.3089	61.18123	6.51548	67.07818	66.44927	47.06205	0	24.60219	67.8786	35.73423	35.34563	22.38713	14.57536
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0	0	0	0	0	0	0	0	0	2.92617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	24.95265	12.28946	21.86961	41.91866	48.10004	33.519	31.04898	29.92973	31.94624	32.86037	36.91147	23.37287	14.82128	5.0819	14.7077	33.519	22.55695	0	15.90775	38.17614	53.62305	15.62431	63.17439	21.36881	51.23719	39.36197	4.92903	47.86594	17.63	0	28.53614	25.73145	42.08572	0	9.36731	7.54306	20.41588	1.25782	71.19403	0.36406
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0	0	0	0	0	0	0	0	0.41996	0	0	0	0	0.01176	0	0	0	0	0	0	0	0	0	0	1.50186	1.2314	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19781
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0	0	0	0	0	0	0	1.27435	0	10.86868	2.11697	0	0	0	0.13233	0	0	0	0	0.15474	0	0	0	0	0	3.6541	1.00188	0	0.8905	0	0.60619	0	4.00839	0	0	0	0	0.28189	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4.62387	0	0.40097	2.8197	10.52418	0	0	0	3.70491	22.85149	0	2.94165	0	0.969	0.17385	0	0	0	0	0	0.18328	0	6.07806	0	0	2.782	0.89115	0	0	0	0.67204	0	0.8024	0	0.09837	0	10.57954	0	0	9.14608
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0	0	0.104	0	0	0	0	0	0.64881	0	0	0	1.09183	0	0.33833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0	0	2.69039	0	0	6.51861	0	0	0	5.64082	15.09335	3.88966	21.95002	61.7465	0	6.51861	27.08953	0	5.68686	0	0	0	0	18.89318	13.44234	0	0.71384	6.82516	16.43071	89.22197	1.87621	7.81928	2.85951	0	5.66524	24.00505	31.42766	62.67328	6.41884	72.30025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0	0	0	0	0	0	0	0	0	0	0	0.61015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26255	0	0	0.42174	0	0	0	1.84268	0.44138	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44927	0	0	0	0	0	0	0	47.60867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	26.48242	0	0	0	0	0	0	8.16444	0	0	0	1.02049	0	0.04815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86756	0	0	0	0	0	9.07288	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09225	0	0	0	91.61741	0	0	0	0	0	0	0	51.19402	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.91325	0	26.54744	0	1.60894	0	0	0	0	0.57839	0	0	0	0	0.53132	0	0	0	2.41645
