	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11053	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	0	0	0	0	0	0	0	0	0.81685	0	0	0	0	0.01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0	0	0	0	0	0	0	1.05886	0	0	0	0.35209	0	0.87206	0	0	0	0	0	0	0	0	0	0	1.18645	0	0	0	0	0	0	0	1.42407	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	0	0	0	0	0	0	0	0	0	0	0	0	0.13503	0	0	0	0	0	0	0	0	0	0	0	0	0.27192	0	0	0	0	0.65285	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis|t__GCF_000156175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41384	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified	6.34225	22.65696	10.0544	4.67807	0	0	14.89361	1.78486	15.13152	0	0	0	14.07195	2.85883	32.97874	0	0	0	0	8.80234	5.60822	0	0	11.71729	0	13.63494	0.22279	0	19.89063	0	20.2929	0	0	0	0	0	0	7.73021	8.71105	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.10726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49014	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus|t__GCF_000195615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21689	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845	0	0	0	0	0	0	0	0	0	0	0	0	0	6.46688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus|t__GCF_000157915	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified	0	27.62045	30.48099	0	33.71002	0	7.81868	0	0.1973	0	32.57016	0	0	0	0	0	32.25702	0	0	0	5.05502	1.54347	0	12.90764	0	0.43591	0	17.38464	0	0	0	0	0	0	0.09796	36.22848	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__Bacteroides_eggerthii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55075	0	0	0	0	0	0	0	0	0	0	0	0.21506	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__Bacteroides_finegoldii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08854	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified	0	0	4.25159	0.50859	0	0	0	3.81389	14.8018	19.3515	12.85612	33.78106	9.46154	0	2.50884	0	0	0	50.38747	6.31893	0.55819	0	5.6812	0	0	0	0.13644	15.86482	0	0	0	0	0	0	6.19016	1.37374	11.39162	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis|t__GCF_000172175	0	0	0	0	0	0	0	12.40265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified	0	0	0	18.02959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6756	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii|t__GCF_000273175	2.04074	0	0	0	0	0	0	0	0.27662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified	1.71295	0	0.59497	0	3.3492	15.46096	3.97745	0.17808	0.2587	1.03269	0.35377	0.31652	0	0.07856	0.07697	15.46096	2.09312	0	7.2661	1.9579	3.34089	0	0	0	0	0.64008	0	6.63278	1.74643	0	2.40524	1.9329	15.90672	0	0.77268	0.20534	0.67235	0	0	2.64693
