	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S34	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S38	S23	S18	S24	S31	S29	S13
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96.79156	0	100	100	100	71.08675	96.90775	73.45256	100	98.05493	8.38259	100	100	100	99.42161	100	100	0	48.80598	99.46868	100	100	100	97.58355
k__Bacteria|p__Actinobacteria	0	0	0	0	0	0	0	1.05886	1.19691	0	0	0.35209	0.40517	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0.27192	0	0	0	0	0.65285	0	2.7602	0	0	0.04197	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0	0	0	0	1.05886	1.19691	0	0	0.35209	0.40517	0.88558	0	0	0	0	0	0	0	0	0	0	1.18645	0.27192	0	0	0	0	0.65285	0	2.7602	0	0	0.04197	0	0	0	0
