	observed_otus
1939.SKBTI063.cropped.filtered.nonchimera.fasta	148
1939.SKBTI072.cropped.filtered.nonchimera.fasta	111
1939.SKBTI.0264.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0220.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0160.cropped.filtered.nonchimera.fasta	172
1939.SKBTI051.cropped.filtered.nonchimera.fasta	95
1939.SKBTI.0245.cropped.filtered.nonchimera.fasta	108
1939.SKBTI.1068.cropped.filtered.nonchimera.fasta	164
1939.SKBTI.1044.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.1182.cropped.filtered.nonchimera.fasta	268
1939.SKBTI.1069.cropped.filtered.nonchimera.fasta	141
1939.SKBTI030.cropped.filtered.nonchimera.fasta	199
1939.SKBTI029.cropped.filtered.nonchimera.fasta	177
1939.SKBTI.0667.cropped.filtered.nonchimera.fasta	105
1939.SKBTI013.cropped.filtered.nonchimera.fasta	110
1939.SKBTI.1168.cropped.filtered.nonchimera.fasta	150
1939.SKBTI.1023.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.0915.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.1345.cropped.filtered.nonchimera.fasta	211
1939.SKBTI038.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.1045.cropped.filtered.nonchimera.fasta	168
1939.SKBTI.0970.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.1353.cropped.filtered.nonchimera.fasta	181
1939.SKBTI.0684.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0263.cropped.filtered.nonchimera.fasta	123
1939.SKBTI024.cropped.filtered.nonchimera.fasta	85
1939.SKBTI.1115.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.0198.cropped.filtered.nonchimera.fasta	194
1939.SKBTI.0997.cropped.filtered.nonchimera.fasta	152
1939.SKBTI079.cropped.filtered.nonchimera.fasta	103
1939.SKBTI.1252.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.1039.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.1281.cropped.filtered.nonchimera.fasta	105
1939.SKBTI087.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.1305.cropped.filtered.nonchimera.fasta	225
1939.SKBTI.1334.cropped.filtered.nonchimera.fasta	213
1939.SKBTI076.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.0137.cropped.filtered.nonchimera.fasta	170
1939.SKBTI.0911.cropped.filtered.nonchimera.fasta	156
1939.SKBTI.1061.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.0192.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1016.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0630.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0739.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.1046.cropped.filtered.nonchimera.fasta	154
1939.SKBTI.1116.cropped.filtered.nonchimera.fasta	197
1939.SKBTI.0182.cropped.filtered.nonchimera.fasta	89
1939.SKBTI.0186.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.1229.cropped.filtered.nonchimera.fasta	238
1939.SKBTI.0273.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.0097.cropped.filtered.nonchimera.fasta	165
1939.SKBTI.0936.cropped.filtered.nonchimera.fasta	223
1939.SKBTI.1153.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0172.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.1309.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.1352.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.0653.cropped.filtered.nonchimera.fasta	210
1939.SKBTI.1302.cropped.filtered.nonchimera.fasta	102
1939.SKBTI.1347.cropped.filtered.nonchimera.fasta	82
1939.SKBTI089.cropped.filtered.nonchimera.fasta	190
1939.SKBTI.0697.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.1122.cropped.filtered.nonchimera.fasta	212
1939.SKBTI.1335.cropped.filtered.nonchimera.fasta	217
1939.SKBTI.1311.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0998.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.0122.cropped.filtered.nonchimera.fasta	99
1939.SKBTI.0918.cropped.filtered.nonchimera.fasta	115
1939.SKBTI.0624.cropped.filtered.nonchimera.fasta	174
1939.SKBTI.0576.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.1093.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0648.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0202.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.0754.cropped.filtered.nonchimera.fasta	199
1939.SKBTI.0112.cropped.filtered.nonchimera.fasta	190
1939.SKBTI.1210.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0750.cropped.filtered.nonchimera.fasta	129
1939.SKBTI077.cropped.filtered.nonchimera.fasta	206
1939.SKBTI.0646.cropped.filtered.nonchimera.fasta	110
1939.SKBTI.0159.cropped.filtered.nonchimera.fasta	104
1939.SKBTI.1029.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.0637.cropped.filtered.nonchimera.fasta	182
1939.SKBTI.0155.cropped.filtered.nonchimera.fasta	165
1939.SKBTI.0690.cropped.filtered.nonchimera.fasta	148
1939.SKBTI.0141.cropped.filtered.nonchimera.fasta	196
1939.SKBTI.0129.cropped.filtered.nonchimera.fasta	178
1939.SKBTI.1086.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.0764.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0551.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.1162.cropped.filtered.nonchimera.fasta	180
1939.SKBTI.0173.cropped.filtered.nonchimera.fasta	108
1939.SKBTI.1317.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.0143.cropped.filtered.nonchimera.fasta	174
1939.SKBTI.0564.cropped.filtered.nonchimera.fasta	111
1939.SKBTI.0193.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0660.cropped.filtered.nonchimera.fasta	217
1939.SKBTI.1310.cropped.filtered.nonchimera.fasta	123
1939.SKBTI059.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0142.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.1036.cropped.filtered.nonchimera.fasta	239
1939.SKBTI.1178.cropped.filtered.nonchimera.fasta	221
1939.SKBTI.0889.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.0253.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.1331.cropped.filtered.nonchimera.fasta	193
1939.SKBTI067.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0958.cropped.filtered.nonchimera.fasta	76
1939.SKBTI.1184.cropped.filtered.nonchimera.fasta	159
1939.SKBTI.1072.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.1120.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0209.cropped.filtered.nonchimera.fasta	126
1939.SKBTI036.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.1284.cropped.filtered.nonchimera.fasta	148
1939.SKBTI.1206.cropped.filtered.nonchimera.fasta	91
1939.SKBTI.0878.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.1084.cropped.filtered.nonchimera.fasta	140
1939.SKBTI.0629.cropped.filtered.nonchimera.fasta	221
1939.SKBTI016.cropped.filtered.nonchimera.fasta	54
1939.SKBTI034.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0961.cropped.filtered.nonchimera.fasta	92
